pathway_id	pathway_name	gene_id
PWY-361	phenylpropanoid biosynthesis	GRMZM2G048522
PWY-361	phenylpropanoid biosynthesis	GRMZM2G433624
PWY-361	phenylpropanoid biosynthesis	GRMZM2G122787
PWY-361	phenylpropanoid biosynthesis	GRMZM2G096020
PWY-361	phenylpropanoid biosynthesis	GRMZM2G014651
PWY-361	phenylpropanoid biosynthesis	GRMZM2G145179
PWY-361	phenylpropanoid biosynthesis	GRMZM2G054013
PWY-361	phenylpropanoid biosynthesis	GRMZM2G174732
PWY-361	phenylpropanoid biosynthesis	GRMZM2G075333
PWY-361	phenylpropanoid biosynthesis	GRMZM2G091643
PWY-361	phenylpropanoid biosynthesis	GRMZM5G805585
PWY-361	phenylpropanoid biosynthesis	GRMZM2G055320
PWY-361	phenylpropanoid biosynthesis	AF466202.2_FG012
PWY-361	phenylpropanoid biosynthesis	cncr1
PWY-361	phenylpropanoid biosynthesis	GRMZM2G099420
PWY-361	phenylpropanoid biosynthesis	GRMZM2G057328
PWY-361	phenylpropanoid biosynthesis	cncr2
PWY-361	phenylpropanoid biosynthesis	GRMZM2G017285
PWY-361	phenylpropanoid biosynthesis	GRMZM2G146031
PWY-361	phenylpropanoid biosynthesis	GRMZM2G004138
PWY-361	phenylpropanoid biosynthesis	GRMZM2G033952
PWY-361	phenylpropanoid biosynthesis	GRMZM2G332522
PWY-361	phenylpropanoid biosynthesis	GRMZM2G127948
PWY-361	phenylpropanoid biosynthesis	GRMZM2G099363
PWY-361	phenylpropanoid biosynthesis	GRMZM2G077486
PWY-361	phenylpropanoid biosynthesis	AC196475.3_FG004
PWY-361	phenylpropanoid biosynthesis	GRMZM2G423331
PWY-361	phenylpropanoid biosynthesis	GRMZM2G158083
PWY-361	phenylpropanoid biosynthesis	AC155610.2_FG007
PWY-361	phenylpropanoid biosynthesis	gpm105
PWY-361	phenylpropanoid biosynthesis	GRMZM2G034360
PWY-361	phenylpropanoid biosynthesis	GRMZM2G168499
PWY-361	phenylpropanoid biosynthesis	GRMZM2G510303
PWY-361	phenylpropanoid biosynthesis	GRMZM2G138074
PWY-361	phenylpropanoid biosynthesis	GRMZM2G140817
PWY-361	phenylpropanoid biosynthesis	GRMZM5G844562
PWY-1001	cellulose biosynthesis	GRMZM2G113137
PWY-1001	cellulose biosynthesis	GRMZM2G111642
PWY-1001	cellulose biosynthesis	GRMZM2G164761
PWY-1001	cellulose biosynthesis	GRMZM2G044269
PWY-1001	cellulose biosynthesis	GRMZM2G436299
PWY-1001	cellulose biosynthesis	GRMZM2G367267
PWY-1001	cellulose biosynthesis	GRMZM2G002523
PWY-1001	cellulose biosynthesis	GRMZM2G028353
PWY-1001	cellulose biosynthesis	GRMZM2G018241
PWY-1001	cellulose biosynthesis	GRMZM2G074546
PWY-1001	cellulose biosynthesis	cesa11
PWY-1001	cellulose biosynthesis	cesa11
PWY-1001	cellulose biosynthesis	GRMZM2G454081
PWY-1001	cellulose biosynthesis	GRMZM2G039454
PWY-1001	cellulose biosynthesis	GRMZM2G105631
PWY-1001	cellulose biosynthesis	GRMZM2G122277
PWY-1001	cellulose biosynthesis	GRMZM2G405567
PWY-1001	cellulose biosynthesis	GRMZM2G012044
PWY-1001	cellulose biosynthesis	GRMZM2G074792
PWY-1001	cellulose biosynthesis	GRMZM2G027723
PWY-1001	cellulose biosynthesis	GRMZM2G349834
PWY-1001	cellulose biosynthesis	GRMZM2G339645
PWY-1001	cellulose biosynthesis	GRMZM2G103972
PWY-1001	cellulose biosynthesis	GRMZM2G113432
PWY-1001	cellulose biosynthesis	GRMZM2G014558
PWY-1001	cellulose biosynthesis	GRMZM2G173759
PWY-1001	cellulose biosynthesis	cesa12
PWY-1001	cellulose biosynthesis	GRMZM2G025231
PWY-1001	cellulose biosynthesis	GRMZM2G177631
PWY-1001	cellulose biosynthesis	cesa4
PWY-1001	cellulose biosynthesis	GRMZM2G027794
PWY-1001	cellulose biosynthesis	GRMZM2G112336
PWY-1001	cellulose biosynthesis	GRMZM2G104092
PWY-1001	cellulose biosynthesis	GRMZM2G061764
PWY-1001	cellulose biosynthesis	GRMZM5G870176
PWY-1001	cellulose biosynthesis	GRMZM2G110145
PWY-1001	cellulose biosynthesis	GRMZM2G015886
PWY-1001	cellulose biosynthesis	GRMZM2G445905
PWY-1001	cellulose biosynthesis	GRMZM2G150404
PWY-1001	cellulose biosynthesis	GRMZM2G082580
PWY-1001	cellulose biosynthesis	GRMZM2G122431
PWY-1001	cellulose biosynthesis	GRMZM2G011651
PWY-1001	cellulose biosynthesis	GRMZM2G147849
PWY-1001	cellulose biosynthesis	GRMZM2G167669
PWY-1001	cellulose biosynthesis	GRMZM2G003379
PWY-1001	cellulose biosynthesis	AC199765.4_FG008
PWY-1001	cellulose biosynthesis	GRMZM2G065585
PWY-1001	cellulose biosynthesis	GRMZM2G019185
PWY-1001	cellulose biosynthesis	GRMZM2G125032
PWY-1001	cellulose biosynthesis	GRMZM2G433365
PWY-1001	cellulose biosynthesis	GRMZM2G363801
PWY-1001	cellulose biosynthesis	GRMZM2G062600
PWY-1001	cellulose biosynthesis	GRMZM2G538064
PWY-1001	cellulose biosynthesis	GRMZM2G076049
PWY-1001	cellulose biosynthesis	GRMZM2G153987
PWY-1001	cellulose biosynthesis	GRMZM2G110735
PWY-1001	cellulose biosynthesis	GRMZM2G088951
PWY-1001	cellulose biosynthesis	GRMZM2G041961
PWY-1001	cellulose biosynthesis	GRMZM2G137535
PWY-1001	cellulose biosynthesis	GRMZM2G455642
